ENTITY_NAME,TYPE_NAMES,Rank Type Summary Word
Portland City Grill,Restaurants In Portland, Oregon|Restaurant|Restaurants Established In 2001|,1|2|5
Saudi Arabia,Countries Bordering The Red Sea|States And Territories Established In 1932|Member States Of The Arab League|Arabic-speaking Countries And Territories|Member States Of The Cooperation Council For The Arab States Of The Persian Gulf|,5|2|4|3|1
Kobe Bryant,African American Basketball Players|National Basketball Association High School Draftees|Basketball Player|American Basketball Players|,2|1|4|3
Magic Mike,2012 Films|English-language Films|2010s Comedy Films|American Comedy Films|Film|,1|5|3|4|2
Robert Pattinson,English Child Actors|English Stage Actors|Actor|English Film Actors|English Television Actors|,2|3|5|1|4
Fernando Torres,Atl% C3% A9tico Madrid Footballers|Spain Youth International Footballers|La Liga Footballers|Spanish Footballers|Spanish Expatriate Footballers|,5|2|1|4|3
Seattle Seahawks,Sports Team|Companies Based In Renton, Washington|National Football League Teams|Team|,2|5|1|4
San Francisco Giants,Baseball Team|Sports Team|Major League Baseball Teams|Team|,2|3|1|5
Duke University,Universities And Colleges Accredited By The Southern Association Of Colleges And Schools|Educational Institutions Established In 1838|Universities And Colleges In North Carolina|Universities And Colleges In The Research Triangle, North Carolina|Universities And Colleges In Durham, North Carolina|,2|5|4|3|1
My Little Pony,2000s Toys|1980s Toys|2010s Toys|1990s Toys|,3|1|4|2
Toyota Prius V,Vehicles Introduced In 2011|Toyota Vehicles|Beach Wagon|Vehicles With C V T Transmission|Motor Vehicle|,1|3|5|2|4
Vatican City,Holy Cities|Area|States And Territories Established In 1929|City|World Heritage Sites In Vatican City|,4|5|2|3|1
Atlanta Braves,Baseball Team|Professional Baseball Teams In Wisconsin|Baseball Teams In Boston, Massachusetts|Professional Baseball Teams In Georgia( U. S. State)|Major League Baseball Teams|,4|3|5|2|1
Paris,Capitals In Europe|Area|Host Cities Of The Summer Olympic Games|City|World Heritage Sites In France|,2|5|3|1|4
Guatemala,States And Territories Established In 1821|Central American Countries|Country|,1|2|3
New York Yankees,Baseball Team|Sports Team|Major League Baseball Teams|Team|,2|3|1|5
Henry Ford,American People Of Irish Descent|Chief Executives In The Automobile Industry|American People Of Belgian Descent|Ford Executives|,3|1|2|4
United Nations,Social Group|State|Organization|Political Unit|Organizations Based In New York City|,4|2|1|3|5
LSU Tigers football,Association|Sports Clubs Established In 1893|,1|2
Victor Cruz,Puerto Rican Players Of American Football|American Football Player|African American Players Of American Football|Gridiron Football Player|Players Of American Football From New Jersey|,4|3|1|5|2
Carolina Panthers,American Football Teams In North Carolina|Sports Team|Football Team|National Football League Teams|,1|4|3|2
San Diego Chargers,American Football Teams In California|American Football Teams In San Diego, California|National Football League Teams|American Football League Teams|American Football Teams In Los Angeles, California|,4|1|3|2|5
Mark Sanford,People From Charleston County, South Carolina|Politician|People From Beaufort County, South Carolina|Governor|Governors Of South Carolina|,3|4|2|5|1
Tom Clancy,American Military Writers|American Thriller Writers|American Spy Fiction Writers|,1|3|2
Louis Vuitton,Companies Established In 1854|,1
Pittsburgh,Cities In Pennsylvania|County Seat|City|,4|5|1
Chicago,Cities In Illinois|County Seat|City|,4|5|1
Federal Bureau of Investigation,Intelligence|United States Intelligence Agencies|Government Agencies Established In 1908|Agency|,4|1|2|3
Ecuador,Countries Bordering The Pacific Ocean|South American Countries|Member States Of The Union Of South American Nations|Country|,1|2|3|4
Tampa Bay Rays,Professional Baseball Teams In Florida|Baseball Team|Sports Team|Major League Baseball Teams|,2|3|4|1
Sylvia Day,American Romantic Fiction Writers|Writer|American Bloggers|American Fantasy Writers|,2|3|5|1
Myanmar (Burma),Southeast Asian Countries|States And Territories Established In 1948|Member States Of The Association Of Southeast Asian Nations|Country|,2|1|3|4
Aristotle,Philosophers And Tutors Of Alexander The Great|Ancient Greek Philosophers|4th-century B C Philosophers|Philosopher|,1|2|5|3
Guam,Islands Of Oceania|Insular Areas Of The United States|Island|States And Territories Established In 1898|English-speaking Countries And Territories|,5|3|4|2|1
J. C. Penney,Online Retail Companies Of The United States|Company|Companies Based In Plano, Texas|Companies Established In 1902|,2|3|1|5
Channing Tatum,Actor|American Television Actors|Yago Legal Actor Geo|American Film Actors|American People Of Native American Descent|,4|3|5|1|2
Cleveland Cavaliers,National Basketball Association Teams|Association|Sports Team|Team|,1|5|2|4
Costa Rica,Countries Bordering The Pacific Ocean|Central American Countries|Caribbean Countries|Country|,1|2|3|4
England,Island Countries|Country|English-speaking Countries And Territories|,2|3|1
Charleston,Cities In South Carolina|Regions Of South Carolina|Populated Places In Berkeley County, South Carolina|Populated Places In Charleston County, South Carolina|County Seats In South Carolina|,2|5|4|1|3
Honda Civic Hybrid,Hybrid Electric Cars|Vehicles With C V T Transmission|Vehicles Introduced In 2001|Motor Vehicle|Partial Zero-emissions Vehicles|,1|3|2|4|5
Yelp,Social Group|,1
Miami Heat,National Basketball Association Teams|Sports Team|Basketball Clubs Established In 1988|Team|,1|2|5|4
PNC Financial Services,Depository Financial Institution|Company|Financial Institution|Group|,2|3|1|4
Los Angeles Angels of Anaheim,Baseball Team|Sports Team|Major League Baseball Teams|Team|,2|3|1|5
Gia Allemand,Model|Participants In American Reality Television Series|American Female Models|,3|1|2
United States Virgin Islands,United States Virgin Islands|Caribbean Islands Of The United States|Insular Areas Of The United States|Island|Virgin Islands|,1|2|4|5|3
Best Buy,Companies Based In Minnesota|Companies Established In 1966|Multinational Companies|Consumer Electronics Retail Companies Of The United States|Retail Companies Of Canada|,2|3|4|1|5
BB&T Center,Skyscraper|Buildings And Structures Completed In 1975|Skyscrapers In Charlotte, North Carolina|,3|2|1
Lexington,Urban Area|City|Cities In Kentucky|,5|2|1
Republic of Ireland,States And Territories Established In 1922|Island Countries|Member States Of The European Union|Member States Of The Council Of Europe|Member States Of The United Nations|,4|5|2|1|3
David Guetta,French Dance Musicians|French People Of Belgian Descent|Disk Jockey|French D Js|Music Group|,4|5|2|3|1
Kate Spade,Dinnerware Designers|American Fashion Designers|Interior Designer|,3|2|1
Austin Mahone,Child Pop Musicians|Singer|American Child Singers|,3|2|1
Sacramento Kings,National Basketball League( United States) Teams|National Basketball Association Teams|Sports Team|Team|,1|2|3|5
Grand Rapids,Populated Places In Kent County, Michigan|County Seats In Michigan|Cities In Michigan|City|,3|2|1|4
Boise,Cities In Idaho|County Seats In Idaho|City|,1|5|2
Mario Balotelli,Football Player|Italian Footballers|A. C. Lumezzane Players|Italian People Of Ghanaian Descent|Italian Expatriate Footballers|,4|2|5|3|1
Plano,Cities In Texas|Yago Permanently Located Entity|City|,4|5|1
The Home Depot,Companies Based In Atlanta, Georgia|Companies Based In Georgia( U. S. State)|Companies Based In Cobb County, Georgia|Company|,1|3|2|4
Boston Red Sox,Professional Baseball Teams In Massachusetts|Baseball Team|Sports Team|Baseball Teams In Boston, Massachusetts|Major League Baseball Teams|,3|4|5|2|1
Percentage of entities having nodes greater than 10:,0.0
